ProducerProductId,ProducerId,ProductCatalogId,Price,Currency,VatRate,Packaging,Grade,OrganicCert,HarvestDate,ExpiryDate,MinOrder,MaxPerOrder,Stock,Status,CreatedAt,UpdatedAt,IsActive
PP-L7MZ5KV3W9,PR-135,CAT-0095,2591.38,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-11-15,,,76,available,2025-11-10,2025-11-10,True
PP-DNG5OL4HD9,PR-135,CAT-0064,2789.69,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-14,,,73,available,2025-11-10,2025-11-10,True
PP-A4QWDX0KAT,PR-135,CAT-0064,2185.83,CRC,0.13,docena,standard,,2025-11-10,2025-12-03,,,190,available,2025-11-10,2025-11-10,True
PP-LUZ05OFQ7C,PR-867,CAT-0069,2604.94,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-27,,,164,available,2025-11-10,2025-11-10,True
PP-VJ3IL4G098,PR-867,CAT-0065,1367.96,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-28,,,123,available,2025-11-10,2025-11-10,True
PP-XLO5RC5E4C,PR-867,CAT-0091,2683.13,CRC,0.13,kg,premium,,2025-11-10,2025-11-21,,,109,available,2025-11-10,2025-11-10,True
PP-WYIY83KFC1,PR-590,CAT-0085,1192.57,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-13,,,106,available,2025-11-10,2025-11-10,True
PP-ETEBCSB6VJ,PR-590,CAT-0032,2380.29,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-24,,,11,available,2025-11-10,2025-11-10,True
PP-O0VG59ZJ9F,PR-590,CAT-0081,1437.76,CRC,0.13,kg,standard,,2025-11-10,2025-12-03,,,188,available,2025-11-10,2025-11-10,True
PP-13MDKXOO7Z,PR-920,CAT-0021,375.64,CRC,0.13,kg,standard,,2025-11-10,2025-11-20,,,174,available,2025-11-10,2025-11-10,True
PP-9EE1O4PELL,PR-920,CAT-0064,925.46,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-11-11,,,123,available,2025-11-10,2025-11-10,True
PP-UCN41CHJLB,PR-920,CAT-0073,1009.35,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-11,,,54,available,2025-11-10,2025-11-10,True
PP-PXQA918IMN,PR-818,CAT-0074,2924.15,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-28,,,116,available,2025-11-10,2025-11-10,True
PP-6J56A816XU,PR-818,CAT-0048,1643.62,CRC,0.13,kg,standard,,2025-11-10,2025-12-04,,,25,available,2025-11-10,2025-11-10,True
PP-VNEXRBC1RM,PR-818,CAT-0052,985.84,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-19,,,188,available,2025-11-10,2025-11-10,True
PP-TZRSUUUO36,PR-818,CAT-0013,2856.64,CRC,0.13,kg,premium,,2025-11-10,2025-12-10,,,65,available,2025-11-10,2025-11-10,True
PP-ZX5VUSXCPC,PR-490,CAT-0009,1406.78,CRC,0.13,kg,premium,,2025-11-10,2025-11-22,,,154,available,2025-11-10,2025-11-10,True
PP-RO293GHDPQ,PR-490,CAT-0053,903.51,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-11-30,,,126,available,2025-11-10,2025-11-10,True
PP-5TSXG6MAO8,PR-490,CAT-0101,2349.2,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-18,,,132,available,2025-11-10,2025-11-10,True
PP-9IJXAASRYC,PR-996,CAT-0065,2314.43,CRC,0.13,docena,premium,,2025-11-10,2025-11-24,,,138,available,2025-11-10,2025-11-10,True
PP-HATUWW81VN,PR-996,CAT-0101,1194.64,CRC,0.13,manojo,standard,,2025-11-10,2025-11-25,,,127,available,2025-11-10,2025-11-10,True
PP-U7CWLNMN1J,PR-996,CAT-0087,1587.19,CRC,0.13,unidad,standard,,2025-11-10,2025-12-04,,,46,available,2025-11-10,2025-11-10,True
PP-DUNJ8Q4OGL,PR-123,CAT-0083,1332.46,CRC,0.13,kg,standard,,2025-11-10,2025-11-14,,,186,available,2025-11-10,2025-11-10,True
PP-58YQP8ISGN,PR-123,CAT-0005,688.55,CRC,0.13,kg,premium,,2025-11-10,2025-11-15,,,24,available,2025-11-10,2025-11-10,True
PP-UH5I3LJKC6,PR-123,CAT-0060,1997.29,CRC,0.13,unidad,standard,,2025-11-10,2025-12-05,,,61,available,2025-11-10,2025-11-10,True
PP-K18UXYNZ38,PR-123,CAT-0096,2596.31,CRC,0.13,unidad,segunda,,2025-11-10,2025-11-24,,,191,available,2025-11-10,2025-11-10,True
